@relation winequality-white-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-Llast-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2

@attribute volatileacidity numeric
@attribute chlorides numeric
@attribute freesulfurdioxide numeric
@attribute totalsulfurdioxide numeric
@attribute density numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
0.294118,0.103858,0.080139,0.160093,0.115481,0.354839,6
0.117647,0.086053,0.146341,0.236659,0.105842,0.306452,6
0.137255,0.246291,0.097561,0.264501,0.154039,0.096774,6
0.382353,0.077151,0.052265,0.329466,0.074995,0.403226,5
0.156863,0.086053,0.101045,0.262181,0.107769,0.370968,6
0.264706,0.163205,0.094077,0.257541,0.121265,0.177419,5
0.176471,0.091988,0.087108,0.266821,0.0615,0.741935,7
0.166667,0.094955,0.275261,0.382831,0.094274,0.290323,5
0.147059,0.109792,0.097561,0.201856,0.105842,0.435484,8
0.156863,0.121662,0.066202,0.222738,0.175246,0.241935,5
0.186275,0.139466,0.160279,0.545244,0.163678,0.16129,6
0.215686,0.154303,0.16899,0.532483,0.167534,0.241935,5
0.186275,0.160237,0.101045,0.445476,0.179102,0.322581,5
0.147059,0.133531,0.02439,0.146172,0.13476,0.177419,6
0.098039,0.10089,0.101045,0.180974,0.05186,0.758065,7
0.235294,0.097923,0.062718,0.139211,0.078851,0.645161,7
0.098039,0.163205,0.083624,0.218097,0.173318,0.209677,5
0.45098,0.151335,0.066202,0.222738,0.150183,0.16129,5
0.137255,0.130564,0.111498,0.243619,0.111625,0.419355,6
0.117647,0.121662,0.170732,0.364269,0.219587,0.193548,6
0.254902,0.160237,0.156794,0.359629,0.144399,0.322581,5
0.137255,0.11276,0.139373,0.459397,0.182957,0.241935,6
0.343137,0.106825,0.181185,0.338747,0.198381,0.112903,5
0.352941,0.103858,0.174216,0.331787,0.200308,0.112903,6
0.303922,0.103858,0.184669,0.341067,0.198381,0.112903,6
0.166667,0.121662,0.233449,0.447796,0.194525,0.274194,6
0.186275,0.118694,0.219512,0.542923,0.165606,0.16129,5
0.156863,0.077151,0.156794,0.294664,0.055716,0.741935,7
0.127451,0.074184,0.160279,0.294664,0.053788,0.741935,7
0.088235,0.091988,0.170732,0.322506,0.086563,0.564516,7
0.176471,0.103858,0.209059,0.535963,0.188741,0.193548,6
0.254902,0.109792,0.083624,0.359629,0.20802,0.129032,6
0.181373,0.074184,0.045296,0.164733,0.080779,0.548387,7
0.27451,0.086053,0.006969,0.171694,0.163678,0.33871,4
0.166667,0.151335,0.174216,0.424594,0.200308,0.177419,5
0.039216,0.133531,0.216028,0.354988,0.175246,0.225806,5
0.127451,0.121662,0.184669,0.359629,0.190669,0.225806,5
0.220588,0.148368,0.146341,0.37355,0.248506,0.16129,5
0.04902,0.124629,0.111498,0.232019,0.198381,0.193548,6
0.147059,0.091988,0.202091,0.37587,0.229227,0.177419,6
0.245098,0.124629,0.121951,0.412993,0.107769,0.370968,5
0.088235,0.216617,0.216028,0.357309,0.169462,0.129032,6
0.186275,0.127596,0.149826,0.570766,0.248506,0.145161,5
0.22549,0.139466,0.229965,0.431555,0.213804,0.193548,5
0.323529,0.118694,0.094077,0.327146,0.186813,0.177419,5
0.397059,0.166172,0.020906,0.218097,0.132832,0.274194,4
0.22549,0.094955,0.080139,0.310905,0.082707,0.532258,6
0.058824,0.077151,0.04878,0.176334,0.076923,0.612903,6
0.235294,0.151335,0.191638,0.433875,0.213804,0.193548,5
0.27451,0.109792,0.066202,0.180974,0.121265,0.354839,5
0.156863,0.133531,0.139373,0.299304,0.21766,0.129032,5
0.078431,0.148368,0.101045,0.283063,0.155967,0.274194,5
0.107843,0.145401,0.041812,0.317865,0.155967,0.177419,6
0.04902,0.246291,0.132404,0.345708,0.109697,0.290323,6
0.107843,0.050445,0.212544,0.310905,0.078851,0.483871,6
0.303922,0.071217,0.094077,0.271462,0.132832,0.403226,5
0.156863,0.086053,0.160279,0.450116,0.167534,0.274194,7
0.215686,0.103858,0.156794,0.394432,0.101986,0.467742,7
0.215686,0.109792,0.15331,0.406032,0.101986,0.467742,6
0.176471,0.032641,0.017422,0.111369,0.132832,0.419355,5
0.338235,0.086053,0.198606,0.538283,0.20802,0.16129,5
0.156863,0.077151,0.15331,0.415313,0.213804,0.193548,5
0.186275,0.074184,0.184669,0.450116,0.173318,0.145161,5
0.186275,0.080119,0.146341,0.394432,0.20802,0.258065,5
0.147059,0.053412,0.118467,0.259861,0.094274,0.435484,6
0.284314,0.106825,0.163763,0.338747,0.200308,0.112903,5
0.107843,0.077151,0.097561,0.201856,0.08849,0.451613,7
0.196078,0.059347,0.055749,0.162413,0.100058,0.612903,6
0.22549,0.106825,0.062718,0.157773,0.107769,0.354839,5
0.127451,0.089021,0.125436,0.227378,0.094274,0.451613,6
0.127451,0.080119,0.076655,0.208817,0.146327,0.274194,6
0.117647,0.083086,0.059233,0.180974,0.096202,0.516129,6
0.171569,0.091988,0.121951,0.243619,0.065356,0.467742,6
0.078431,0.103858,0.1777,0.36891,0.090418,0.33871,6
0.504902,0.145401,0.045296,0.204176,0.154039,0.16129,4
0.254902,0.074184,0.059233,0.164733,0.08849,0.645161,7
0.166667,0.133531,0.073171,0.24826,0.132832,0.225806,6
0.137255,0.10089,0.15331,0.331787,0.121265,0.564516,7
0.098039,0.136499,0.195122,0.292343,0.186813,0.306452,6
0.098039,0.115727,0.135889,0.204176,0.092346,0.387097,5
0.147059,0.118694,0.034843,0.155452,0.182957,0.274194,6
0.156863,0.169139,0.160279,0.438515,0.20802,0.145161,6
0.235294,0.080119,0.125436,0.266821,0.05186,0.709677,7
0.352941,0.080119,0.142857,0.25522,0.044149,0.66129,8
0.137255,0.136499,0.087108,0.348028,0.209948,0.177419,5
0.27451,0.118694,0.041812,0.176334,0.117409,0.419355,5
0.156863,0.121662,0.216028,0.454756,0.190669,0.241935,5
0.147059,0.124629,0.243902,0.389791,0.194525,0.290323,5
0.186275,0.115727,0.12892,0.436195,0.198381,0.258065,6
0.372549,0.074184,0.080139,0.206497,0.048005,0.741935,7
0.205882,0.136499,0.062718,0.329466,0.186813,0.209677,5
0.333333,0.074184,0.010453,0.234339,0.167534,0.322581,5
0.215686,0.169139,0.094077,0.287703,0.067284,0.758065,6
0.107843,0.106825,0.052265,0.201856,0.08849,0.483871,6
0.392157,0.083086,0.006969,0.211137,0.059572,0.548387,4
0.137255,0.086053,0.101045,0.280742,0.090418,0.564516,7
0.186275,0.124629,0.108014,0.38051,0.229227,0.354839,5
0.147059,0.091988,0.167247,0.329466,0.107769,0.548387,6
0.235294,0.103858,0.059233,0.12993,0.074995,0.741935,4
0.147059,0.133531,0.191638,0.37355,0.194525,0.225806,5
0.578431,0.151335,0.02439,0.229698,0.115481,0.112903,4
0.166667,0.118694,0.135889,0.387471,0.152111,0.193548,6
0.245098,0.115727,0.139373,0.38051,0.154039,0.209677,6
0.254902,0.130564,0.205575,0.403712,0.12512,0.193548,5
0.196078,0.115727,0.160279,0.366589,0.267785,0.112903,5
0.186275,0.121662,0.216028,0.5058,0.20802,0.258065,6
0.176471,0.10089,0.216028,0.50348,0.190669,0.209677,5
0.205882,0.10089,0.222997,0.512761,0.194525,0.209677,5
0.156863,0.091988,0.163763,0.364269,0.159823,0.306452,6
0.215686,0.086053,0.139373,0.25522,0.101986,0.483871,5
0.441176,0.074184,0.083624,0.232019,0.067284,0.758065,8
0.196078,0.11276,0.181185,0.466357,0.175246,0.145161,4
0.196078,0.127596,0.184669,0.468677,0.175246,0.145161,6
0.196078,0.106825,0.090592,0.264501,0.109697,0.548387,6
0.068627,0.136499,0.111498,0.269142,0.136688,0.258065,5
0.205882,0.566766,0.254355,0.399072,0.136688,0.177419,5
0.215686,0.557864,0.25784,0.396752,0.136688,0.177419,6
0.205882,0.557864,0.254355,0.403712,0.136688,0.177419,5
0.176471,0.127596,0.181185,0.475638,0.173318,0.145161,5
0.235294,0.121662,0.174216,0.452436,0.209948,0.129032,5
0.186275,0.118694,0.184669,0.433875,0.21766,0.209677,5
0.45098,0.121662,0.1777,0.526682,0.196453,0.258065,5
0.176471,0.074184,0.12892,0.290023,0.150183,0.645161,6
0.196078,0.130564,0.118467,0.243619,0.101986,0.354839,4
0.127451,0.097923,0.149826,0.334107,0.194525,0.129032,5
0.078431,0.106825,0.125436,0.271462,0.167534,0.193548,5
0.480392,0.091988,0.045296,0.157773,0.128976,0.354839,5
0.313725,0.115727,0.073171,0.37355,0.113553,0.241935,6
0.161765,0.068249,0.034843,0.136891,0.132832,0.403226,5
0.098039,0.086053,0.114983,0.236659,0.090418,0.516129,7
0.04902,0.124629,0.101045,0.262181,0.140544,0.274194,6
0.166667,0.062315,0.114983,0.222738,0.078851,0.5,7
0.176471,0.103858,0.184669,0.331787,0.173318,0.225806,5
0.186275,0.080119,0.149826,0.359629,0.130904,0.483871,5
0.196078,0.103858,0.202091,0.366589,0.227299,0.225806,5
0.147059,0.080119,0.142857,0.352668,0.128976,0.483871,5
0.593137,0.181009,0.108014,0.37819,0.192597,0.177419,6
0.107843,0.10089,0.108014,0.313225,0.12512,0.177419,6
0.406863,0.109792,0.101045,0.303944,0.111625,0.387097,6
0.156863,0.109792,0.12892,0.315545,0.24465,0.112903,5
0.088235,0.115727,0.135889,0.443155,0.128976,0.274194,6
0.166667,0.094955,0.222997,0.610209,0.188741,0.177419,6
0.54902,0.15727,0.083624,0.308585,0.194525,0.145161,4
0.196078,0.094955,0.125436,0.429234,0.202236,0.258065,6
0.186275,0.089021,0.163763,0.461717,0.202236,0.241935,6
0.147059,0.145401,0.184669,0.429234,0.20802,0.16129,6
0.431373,0.103858,0.181185,0.491879,0.194525,0.258065,6
0.176471,0.083086,0.132404,0.257541,0.090418,0.5,7
0.166667,0.089021,0.090592,0.348028,0.213804,0.258065,6
0.235294,0.121662,0.163763,0.436195,0.219587,0.112903,5
0.22549,0.065282,0.073171,0.187935,0.140544,0.387097,5
0.127451,0.050445,0.073171,0.211137,0.0615,0.548387,7
0.156863,0.11276,0.21777,0.486079,0.121265,0.274194,6
0.313725,0.10089,0.132404,0.308585,0.200308,0.112903,5
0.098039,0.086053,0.062718,0.558005,0.100058,0.532258,6
0.127451,0.062315,0.083624,0.301624,0.055716,0.741935,7
0.117647,0.065282,0.034843,0.157773,0.065356,0.467742,7
0.107843,0.062315,0.034843,0.155452,0.065356,0.467742,7
0.323529,0.083086,0.055749,0.25522,0.17139,0.322581,5
0.127451,0.130564,0.132404,0.440835,0.179102,0.322581,4
0.176471,0.192878,0.135889,0.436195,0.209948,0.290323,3
0.156863,0.059347,0.010453,0.232019,0.080779,0.596774,3
0.156863,0.133531,0.121951,0.345708,0.117409,0.209677,6
0.176471,0.091988,0.149826,0.320186,0.123193,0.258065,8
0.264706,0.077151,0.020906,0.204176,0.107769,0.483871,7
0.147059,0.068249,0.073171,0.2529,0.078851,0.612903,6
0.27451,0.083086,0.003484,0.153132,0.063428,0.548387,4
0.034314,0.115727,0.118467,0.229698,0.130904,0.354839,6
0.205882,0.10089,0.118467,0.341067,0.240794,0.145161,5
0.196078,0.080119,0.045296,0.199536,0.140544,0.354839,5
0.205882,0.106825,0.222997,0.515081,0.204164,0.258065,6
0.156863,0.086053,0.069686,0.366589,0.078851,0.419355,6
0.235294,0.130564,0.10453,0.396752,0.181029,0.193548,6
0.490196,0.10089,0.111498,0.324826,0.140544,0.274194,5
0.495098,0.103858,0.111498,0.315545,0.142472,0.274194,6
0.5,0.106825,0.118467,0.320186,0.140544,0.274194,6
0.509804,0.103858,0.108014,0.320186,0.140544,0.274194,5
0.166667,0.124629,0.146341,0.322506,0.194525,0.209677,5
0.490196,0.142433,0.097561,0.264501,0.150183,0.16129,5
0.205882,0.109792,0.198606,0.522042,0.182957,0.241935,5
0.107843,0.109792,0.170732,0.37123,0.159823,0.290323,6
0.117647,0.103858,0.167247,0.364269,0.159823,0.290323,6
0.176471,0.097923,0.02439,0.118329,0.084635,0.419355,5
0.235294,0.103858,0.041812,0.134571,0.092346,0.419355,4
0.215686,0.080119,0.052265,0.222738,0.086563,0.709677,7
0.156863,0.074184,0.069686,0.238979,0.055716,0.741935,8
0.22549,0.089021,0.118467,0.243619,0.073067,0.693548,8
0.352941,0.11276,0.15331,0.445476,0.128976,0.403226,4
0.254902,0.133531,0.170732,0.433875,0.213804,0.209677,5
0.264706,0.136499,0.15331,0.438515,0.225371,0.129032,5
0.235294,0.139466,0.156794,0.396752,0.173318,0.129032,5
0.196078,0.130564,0.170732,0.419954,0.206092,0.274194,6
0.147059,0.145401,0.163763,0.424594,0.20802,0.16129,7
0.068627,0.094955,0.1777,0.338747,0.142472,0.403226,6
0.196078,0.169139,0.1777,0.431555,0.248506,0.177419,5
0.196078,0.094955,0.083624,0.343387,0.165606,0.290323,7
0.5,0.169139,0.111498,0.401392,0.186813,0.080645,3
0.245098,0.109792,0.111498,0.385151,0.121265,0.225806,6
0.303922,0.106825,0.108014,0.37123,0.202236,0.225806,5
0.107843,0.094955,0.278746,0.412993,0.117409,0.516129,7
0.088235,0.109792,0.219512,0.317865,0.190669,0.322581,6
0.088235,0.10089,0.087108,0.262181,0.100058,0.370968,6
0.323529,0.160237,0.118467,0.180974,0.082707,0.451613,6
0.117647,0.121662,0.034843,0.150812,0.094274,0.403226,6
0.205882,0.136499,0.139373,0.36891,0.082707,0.5,6
0.323529,0.142433,0.135889,0.357309,0.150183,0.306452,6
0.343137,0.145401,0.132404,0.357309,0.152111,0.306452,5
0.313725,0.145401,0.135889,0.364269,0.152111,0.306452,6
0.245098,0.080119,0.097561,0.290023,0.107769,0.387097,7
0.22549,0.083086,0.118467,0.322506,0.109697,0.387097,6
0.27451,0.077151,0.04878,0.211137,0.08849,0.564516,7
0.460784,0.068249,0.114983,0.359629,0.090418,0.725806,8
0.166667,0.097923,0.121951,0.324826,0.159823,0.322581,6
0.27451,0.086053,0.170732,0.364269,0.13476,0.322581,6
0.254902,0.091988,0.167247,0.366589,0.13476,0.322581,5
0.166667,0.065282,0.111498,0.290023,0.107769,0.419355,6
0.156863,0.065282,0.118467,0.292343,0.128976,0.403226,5
0.215686,0.062315,0.059233,0.287703,0.119337,0.564516,7
0.044118,0.091988,0.027875,0.139211,0.121265,0.33871,6
0.019608,0.094955,0.045296,0.12993,0.107769,0.370968,7
0.196078,0.065282,0.114983,0.296984,0.144399,0.387097,6
0.323529,0.109792,0.031359,0.459397,0.113553,0.548387,5
0.176471,0.091988,0.125436,0.480278,0.202236,0.322581,6
0.254902,0.089021,0.121951,0.310905,0.140544,0.322581,6
0.196078,0.097923,0.184669,0.431555,0.206092,0.258065,6
0.127451,0.080119,0.108014,0.176334,0.094274,0.387097,5
0.235294,0.062315,0.111498,0.213457,0.078851,0.725806,8
0.156863,0.068249,0.121951,0.292343,0.107769,0.419355,5
0.147059,0.071217,0.04878,0.190255,0.067284,0.612903,6
0.196078,0.086053,0.097561,0.287703,0.159823,0.290323,5
0.176471,0.065282,0.034843,0.164733,0.100058,0.451613,5
0.147059,0.080119,0.045296,0.222738,0.074995,0.516129,6
0.186275,0.106825,0.184669,0.37355,0.194525,0.209677,6
0.176471,0.11276,0.034843,0.301624,0.142472,0.387097,5
0.098039,0.118694,0.163763,0.306265,0.121265,0.354839,7
0.117647,0.106825,0.087108,0.334107,0.179102,0.16129,7
0.156863,0.11276,0.052265,0.278422,0.148255,0.322581,6
0.176471,0.103858,0.097561,0.303944,0.175246,0.177419,6
0.22549,0.130564,0.15331,0.313225,0.115481,0.322581,5
0.205882,0.127596,0.156794,0.315545,0.113553,0.322581,6
0.063725,0.121662,0.108014,0.283063,0.136688,0.258065,6
0.254902,0.065282,0.062718,0.136891,0.067284,0.516129,7
0.107843,0.139466,0.254355,0.338747,0.238866,0.129032,6
0.098039,0.127596,0.125436,0.2529,0.209948,0.322581,6
0.088235,0.133531,0.188153,0.296984,0.190669,0.322581,5
0.039216,0.103858,0.156794,0.317865,0.082707,0.548387,7
0.245098,0.086053,0.10453,0.299304,0.094274,0.629032,7
0.25,0.183976,0.087108,0.276102,0.101986,0.258065,6
0.313725,0.11276,0.127178,0.547564,0.127048,0.258065,6
0.137255,0.160237,0.160279,0.422274,0.206092,0.16129,6
0.27451,0.121662,0.076655,0.37123,0.107769,0.241935,6
0.117647,0.121662,0.059233,0.331787,0.132832,0.387097,6
0.156863,0.091988,0.142857,0.352668,0.123193,0.419355,6
0.156863,0.11276,0.181185,0.354988,0.186813,0.354839,6
0.279412,0.136499,0.076655,0.174014,0.13476,0.145161,5
0.068627,0.121662,0.132404,0.273782,0.136688,0.274194,6
0.078431,0.083086,0.055749,0.215777,0.100058,0.548387,7
0.176471,0.05638,0.094077,0.241299,0.078851,0.693548,7
0.098039,0.237389,0.132404,0.310905,0.100058,0.451613,6
0.245098,0.130564,0.12892,0.322506,0.107769,0.225806,6
0.205882,0.118694,0.118467,0.392111,0.115481,0.419355,6
0.303922,0.103858,0.083624,0.146172,0.13476,0.580645,5
0.186275,0.115727,0.097561,0.324826,0.12512,0.193548,6
0.245098,0.053412,0.055749,0.185615,0.042221,0.725806,7
0.22549,0.083086,0.034843,0.25522,0.092346,0.387097,7
0.117647,0.106825,0.066202,0.206497,0.101986,0.322581,7
0.235294,0.118694,0.052265,0.338747,0.107769,0.322581,6
0.196078,0.109792,0.160279,0.394432,0.200308,0.16129,6
0.264706,0.124629,0.083624,0.343387,0.188741,0.193548,6
0.27451,0.053412,0.062718,0.269142,0.074995,0.532258,7
0.088235,0.050445,0.076655,0.24594,0.067284,0.451613,7
0.303922,0.091988,0.280488,0.582367,0.13476,0.33871,5
0.127451,0.11276,0.094077,0.303944,0.152111,0.274194,6
0.215686,0.068249,0.202091,0.399072,0.215732,0.209677,7
0.27451,0.065282,0.038328,0.132251,0.086563,0.419355,5
0.460784,0.065282,0.059233,0.269142,0.165606,0.354839,6
0.156863,0.035608,0.062718,0.139211,0.055716,0.677419,6
0.284314,0.103858,0.209059,0.357309,0.202236,0.129032,5
0.186275,0.091988,0.296167,0.36891,0.094274,0.322581,5
0.196078,0.065282,0.097561,0.194896,0.08849,0.548387,5
0.117647,0.083086,0.114983,0.227378,0.08849,0.548387,6
0.176471,0.115727,0.174216,0.36891,0.235011,0.225806,5
0.107843,0.068249,0.10453,0.171694,0.071139,0.596774,6
0.264706,0.178042,0.069686,0.229698,0.121265,0.193548,5
0.186275,0.109792,0.184669,0.563805,0.248506,0.112903,5
0.137255,0.077151,0.108014,0.37355,0.090418,0.741935,6
0.196078,0.065282,0.132404,0.208817,0.048005,0.774194,7
0.401961,0.118694,0.038328,0.269142,0.117409,0.225806,5
0.058824,0.103858,0.083624,0.24826,0.094274,0.370968,6
0.166667,0.086053,0.139373,0.338747,0.246578,0.16129,6
0.196078,0.091988,0.125436,0.303944,0.209948,0.258065,6
0.107843,0.080119,0.10453,0.176334,0.090418,0.403226,5
0.127451,0.094955,0.087108,0.208817,0.107769,0.290323,6
0.176471,0.11276,0.191638,0.466357,0.169462,0.16129,5
0.22549,0.121662,0.108014,0.296984,0.111625,0.403226,6
0.137255,0.062315,0.135889,0.294664,0.05186,0.758065,7
0.127451,0.106825,0.121951,0.4942,0.159823,0.387097,6
0.127451,0.106825,0.121951,0.491879,0.159823,0.387097,6
0.147059,0.11276,0.156794,0.354988,0.159823,0.403226,7
0.205882,0.130564,0.160279,0.429234,0.198381,0.225806,5
0.127451,0.124629,0.062718,0.185615,0.12512,0.177419,5
0.22549,0.139466,0.181185,0.436195,0.206092,0.209677,5
0.254902,0.115727,0.059233,0.174014,0.107769,0.290323,5
0.073529,0.106825,0.249129,0.475638,0.121265,0.306452,7
0.147059,0.05638,0.101045,0.220418,0.09813,0.66129,8
0.117647,0.053412,0.076655,0.204176,0.094274,0.677419,7
0.196078,0.097923,0.073171,0.486079,0.123193,0.290323,5
0.078431,0.077151,0.163763,0.410673,0.067284,0.709677,8
0.264706,0.151335,0.073171,0.229698,0.121265,0.193548,5
0.137255,0.05638,0.076655,0.215777,0.080779,0.580645,7
0.294118,0.071217,0.080139,0.296984,0.128976,0.387097,6
0.166667,0.050445,0.181185,0.271462,0.05186,0.790323,8
0.431373,0.115727,0.181185,0.547564,0.200308,0.209677,6
0.156863,0.065282,0.132404,0.301624,0.200308,0.483871,6
0.235294,0.086053,0.04878,0.132251,0.127048,0.564516,3
0.196078,0.133531,0.097561,0.341067,0.082707,0.709677,5
0.323529,0.115727,0.076655,0.241299,0.213804,0.290323,6
0.196078,0.127596,0.111498,0.273782,0.111625,0.403226,7
0.509804,0.181009,0.066202,0.382831,0.192597,0.177419,5
0.117647,0.086053,0.111498,0.276102,0.096202,0.33871,5
0.372549,0.097923,0.087108,0.350348,0.115481,0.419355,7
0.186275,0.109792,0.10453,0.241299,0.101986,0.403226,7
0.323529,0.115727,0.076655,0.241299,0.213804,0.290323,6
0.147059,0.038576,0.031359,0.169374,0.040293,0.790323,7
0.127451,0.139466,0.083624,0.236659,0.163678,0.241935,5
0.284314,0.130564,0.101045,0.486079,0.101986,0.290323,6
0.343137,0.148368,0.28223,0.556845,0.192597,0.080645,5
0.166667,0.11276,0.132404,0.37587,0.213804,0.209677,5
0.166667,0.11276,0.167247,0.354988,0.196453,0.241935,5
0.235294,0.103858,0.045296,0.136891,0.117409,0.225806,6
0.303922,0.11276,0.222997,0.392111,0.202236,0.112903,5
0.127451,0.21365,0.111498,0.271462,0.175246,0.145161,5
0.058824,0.089021,0.181185,0.306265,0.163678,0.225806,6
0.205882,0.11276,0.198606,0.401392,0.233083,0.258065,5
0.284314,0.089021,0.066202,0.345708,0.215732,0.209677,6
0.294118,0.080119,0.111498,0.443155,0.127048,0.322581,5
0.156863,0.041543,0.059233,0.178654,0.055716,0.725806,6
0.088235,0.074184,0.111498,0.285383,0.140544,0.258065,7
0.078431,0.062315,0.097561,0.215777,0.128976,0.225806,6
0.156863,0.059347,0.184669,0.5058,0.181029,0.241935,5
0.196078,0.05638,0.139373,0.222738,0.042221,0.709677,7
0.137255,0.083086,0.094077,0.24594,0.107769,0.403226,6
0.460784,0.189911,0.066202,0.361949,0.132832,0.193548,6
0.137255,0.094955,0.226481,0.359629,0.109697,0.387097,6
0.382353,0.10089,0.101045,0.37819,0.179102,0.193548,5
0.27451,0.11276,0.149826,0.220418,0.08849,0.419355,6
0.166667,0.103858,0.135889,0.296984,0.194525,0.241935,5
0.284314,1,0.268293,0.443155,0.159823,0.258065,5
0.098039,0.05638,0.118467,0.25058,0.113553,0.274194,6
0.078431,0.047478,0.142857,0.25058,0.109697,0.274194,6
0.254902,0.077151,0.10453,0.187935,0.086563,0.435484,6
0.205882,0.106825,0.1777,0.396752,0.12512,0.403226,6
0.176471,0.11276,0.174216,0.389791,0.175246,0.145161,6
0.196078,0.077151,0.020906,0.141531,0.053788,0.66129,6
0.147059,0.068249,0.034843,0.12993,0.05186,0.758065,7
0.107843,0.089021,0.139373,0.401392,0.17139,0.306452,6
0.107843,0.038576,0.090592,0.345708,0.069211,0.548387,6
0.117647,0.091988,0.087108,0.218097,0.132832,0.435484,6
0.352941,0.047478,0.090592,0.38051,0.080779,0.725806,6
0.313725,0.094955,0.236934,0.417633,0.202236,0.096774,4
0.147059,0.050445,0.142857,0.320186,0.063428,0.725806,6
0.25,0.091988,0.038328,0.382831,0.094274,0.322581,5
